20 30
##############################
#                            #
#                            #
#                            #
#                            #
#            *               #
#            *               #
#                            #
#           *                #
#          > *               #
#                            #
#                            #
#                            #
#                            #
#                            #
#                            #
#                            #
#                            #
#                            #
##############################
